15280214634	14397114174	20180117090943	1371
14171709460	14410679238	20180310111950	0242
18101213362	17405139883	20180825014853	0189
15280214634	16574556259	20180401172804	2633
15781588029	15280214634	20180420104236	2755
18101213362	15280214634	20180108144957	2043
14930423697	15280214634	20180430054939	0838
15305526350	15244749863	20181003215407	2978
14171709460	19565082510	20180510235618	0622
15280214634	15647679901	20181222122348	1122
15244749863	18101213362	20180427051646	1085
17336673697	19313925217	20181005155938	2043
17336673697	15280214634	20180521152354	1735
19565082510	16569963779	20180830044942	2170
17336673697	14930423697	20180421133622	2463
13319935953	17336673697	20181207231102	2459
13319935953	15305526350	20180202121413	1158
19565082510	14397114174	20180327191631	2606
14397114174	18101213362	20180310212735	2789
18101213362	17885275338	20180115164224	2663
19565082510	18840172592	20180414132523	0500
16569963779	18840172592	20180524131315	0075
17885275338	18840172592	20180711030100	1271
16160892861	15305526350	20181223010612	1063
14397114174	15244749863	20181010195603	2452
